Episode 100, Reward: 535.3251310504927, Optimal Reward: 2926.3478099427966
Episode 200, Reward: 1010.6453813752245, Optimal Reward: 2926.3478099427966
Episode 300, Reward: 1071.5405723636768, Optimal Reward: 2926.3478099427966
Episode 400, Reward: 1342.7487111683802, Optimal Reward: 2926.3478099427966
Episode 600, Reward: 1494.3901563572242, Optimal Reward: 2926.3478099427966
Episode 700, Reward: 1527.08431596316, Optimal Reward: 2926.3478099427966
Episode 1200, Reward: 1561.2249208351504, Optimal Reward: 2926.3478099427966
Episode 1300, Reward: 1600.7246958851163, Optimal Reward: 2926.3478099427966
Episode 1400, Reward: 1750.0118814405298, Optimal Reward: 2926.3478099427966
Episode 1500, Reward: 1828.112682913091, Optimal Reward: 2926.3478099427966
Episode 1600, Reward: 1925.6829409150334, Optimal Reward: 2926.3478099427966
Episode 1700, Reward: 1985.0879375861482, Optimal Reward: 2926.3478099427966
Episode 2000, Reward: 2034.5276198037932, Optimal Reward: 2926.3478099427966
Episode 2100, Reward: 2053.0641931396312, Optimal Reward: 2926.3478099427966
Episode 2200, Reward: 2125.861376649356, Optimal Reward: 2926.3478099427966
Episode 2300, Reward: 2217.646233408067, Optimal Reward: 2926.3478099427966
Episode 2800, Reward: 2336.75094951887, Optimal Reward: 2926.3478099427966
Episode 3000, Reward: 2337.943070996239, Optimal Reward: 2926.3478099427966
Episode 3100, Reward: 2343.8342669388367, Optimal Reward: 2926.3478099427966
Episode 3500, Reward: 2366.2375210940872, Optimal Reward: 2926.3478099427966
Episode 4100, Reward: 2369.4226545825572, Optimal Reward: 2926.3478099427966
Episode 4200, Reward: 2443.773646394938, Optimal Reward: 2926.3478099427966
Episode 4600, Reward: 2472.8299060173863, Optimal Reward: 2926.3478099427966
Episode 4800, Reward: 2535.3783334779737, Optimal Reward: 2926.3478099427966
Episode 4900, Reward: 2620.7780138713074, Optimal Reward: 2926.3478099427966
Episode 5000, Reward: 2644.286191985303, Optimal Reward: 2926.3478099427966
Episode 5000, Reward: 2644.286191985303******FLAG REACHED**********
Episode 5100, Reward: 2653.174705524315, Optimal Reward: 2926.3478099427966
Episode 5300, Reward: 2671.1759044033597, Optimal Reward: 2926.3478099427966
Episode 5400, Reward: 2708.0977942630516, Optimal Reward: 2926.3478099427966
Episode 5500, Reward: 2710.6346502309666, Optimal Reward: 2926.3478099427966
Episode 5600, Reward: 2717.466198420817, Optimal Reward: 2926.3478099427966
Episode 6300, Reward: 2763.2081196261397, Optimal Reward: 2926.3478099427966
Episode 6400, Reward: 2774.41670144569, Optimal Reward: 2926.3478099427966
Episode 7500, Reward: 2627.2459511423867******BYEEEEEEEEEEE**********
07:54